Time(s),Thrust(N)
26.73,50765.19059
26.76,50831.55334
26.79,50897.95773
26.82,50964.40427
26.85,51030.91021
26.88,51097.46846
26.91,51164.06762
26.94,51230.70325
26.97,51297.29722
27.0,51363.93213
27.03,51430.60932
27.06,51497.30475
27.09,51564.01734
27.12,51630.77119
27.15,51697.56711
27.18,51764.39825
27.21,51831.26991
27.24,51898.18435
27.27,51965.14011
27.3,52032.13752
27.33,52099.1763
27.36,52166.25741
27.39,52233.35751
27.42,52300.49464
27.45,52367.67426
27.48,52434.89192
27.51,52502.14436
27.54,52569.4384
27.57,52636.77372
27.6,52704.14291
27.63,52771.55136
27.66,52839.00118
27.69,52906.47718
27.72,52973.92834
27.75,53041.42062
27.78,53108.95382
27.81,53176.515
27.84,53244.11061
27.87,53311.74663
27.9,53379.42282
27.93,53447.12861
27.96,53514.87511
27.99,53582.66279
28.02,53650.47884
28.05,53718.32666
28.08,53786.21566
28.11,53854.14231
28.14,53922.06045
28.17,53990.02031
28.2,54058.02086
28.23,54126.05013
28.26,54194.11097
28.29,54262.2133
28.32,54330.35359
28.35,54398.49552
28.38,54466.6789
28.41,54534.90251
28.44,54603.13436
28.47,54671.38268
28.5,54739.67197
28.53,54808.00114
28.56,54876.36857
28.59,54944.77708
28.62,55013.2254
28.65,55081.71503
28.68,55150.24599
28.71,55218.81708
28.74,55287.41759
28.77,55355.96056
28.8,55424.54282
28.83,55493.16598
28.86,55561.81644
28.89,55630.49889
28.92,55699.22161
28.95,55767.98581
28.98,55836.79514
29.01,55905.64438
29.04,55974.53482
29.07,56043.44675
29.1,56112.39089
29.13,56181.37536
29.16,56250.38086
29.19,56319.35611
29.22,56388.37211
29.25,56457.42793
29.28,56526.51623
29.31,56595.64227
29.34,56664.80852
29.37,56734.01495
29.4,56803.26302
29.43,56872.55165
29.46,56941.87922
29.49,57011.19088
29.52,57080.53262
29.55,57149.91383
29.58,57219.32878
29.61,57288.77517
29.64,57358.26051
29.67,57427.78587
29.7,57497.31475
29.73,57566.88145
29.76,57636.48787
29.79,57706.10676
29.82,57775.74108
29.85,57845.41498
29.88,57915.12629
29.91,57984.8554
29.94,58054.62419
29.97,58124.43277
30.0,58194.26902
30.03,58264.13974
30.06,58334.05001
30.09,58403.97619
30.12,58473.8788
30.15,58543.8212
30.18,58613.80213
30.21,58683.77979
30.24,58753.78979
30.27,58823.83851
30.3,58893.90872
30.33,58963.99738
30.36,59034.1243
30.39,59104.29216
30.42,59174.54282
30.45,59244.83214
30.48,59315.16024
30.51,59385.50007
30.54,59455.86416
30.57,59526.26635
30.6,59596.70028
30.63,59667.15049
30.66,59737.63933
30.69,59808.16704
30.72,59878.7277
30.75,59949.32542
30.78,60019.9624
30.81,60090.60561
30.84,60161.25215
30.87,60231.93764
30.9,60302.65219
30.93,60373.32304
30.96,60444.03206
30.99,60514.77961
31.02,60585.5546
31.05,60656.36423
31.08,60727.21192
31.11,60798.11625
31.14,60869.0926
31.17,60940.10739
31.2,61011.15939
31.23,61082.16786
31.26,61153.21364
31.29,61224.29698
31.32,61295.36856
31.35,61366.44853
31.38,61437.56594
31.41,61508.72058
31.44,61579.91071
31.47,61651.13823
31.5,61722.40387
31.53,61793.65572
31.56,61864.94054
31.59,61936.26306
31.62,62007.61684
31.65,62079.00252
31.68,62150.42624
31.71,62221.87586
31.74,62293.32452
31.77,62364.81056
31.8,62436.33424
31.83,62507.85365
31.86,62579.40625
31.89,62650.9959
31.92,62722.58301
31.95,62794.17689
31.98,62865.80775
32.01,62937.46709
32.04,63009.13706
32.07,63080.84384
32.1,63152.58728
32.13,63224.41095
32.16,63296.27556
32.19,63368.17712
32.22,63440.07643
32.25,63511.9857
32.28,63583.93111
32.31,63655.89708
32.34,63727.85455
32.37,63799.8486
32.4,63871.87932
32.43,63943.94678
32.46,64016.0502
32.49,64088.19085
32.52,64160.36873
32.55,64232.5836
32.58,64304.83545
32.61,64377.08963
32.64,64449.31981
32.67,64521.58676
32.7,64593.88905
32.73,64666.21759
32.76,64738.58288
32.79,64810.98352
32.82,64883.42308
32.85,64955.89953
32.88,65028.41171
32.91,65100.90493
32.94,65173.37449
32.97,65245.87918
33.0,65318.41267
33.03,65390.95158
33.06,65463.52588
33.09,65536.13592
33.12,65608.75429
33.15,65681.40484
33.18,65754.09135
33.21,65826.80639
33.24,65899.55242
33.27,65972.33378
33.3,66045.10931
33.33,66117.84643
33.36,66190.61937
33.39,66263.42766
33.42,66336.27128
33.45,66409.15043
33.48,66482.06498
33.51,66555.03327
33.54,66628.0407
33.57,66701.08355
33.6,66774.11218
33.63,66847.1407
33.66,66920.20371
33.69,66993.29573
33.72,67066.41033
33.75,67139.55964
33.78,67212.74328
33.81,67285.95932
33.84,67359.20959
33.87,67432.49483
33.9,67505.74146
33.93,67579.0068
33.96,67652.30671
33.99,67725.62239
34.02,67798.95778
34.05,67872.32817
34.08,67945.75021
34.11,68019.23905
34.14,68092.76224
34.17,68166.31382
34.2,68239.84667
34.23,68313.41444
34.26,68387.01633
34.29,68460.51597
34.32,68534.03145
34.35,68607.58113
34.38,68681.1684
34.41,68754.79196
34.44,68828.44937
34.47,68902.14729
34.5,68975.88805
34.53,69049.66266
34.56,69123.45734
34.59,69197.23824
34.62,69271.05237
34.65,69344.90006
34.68,69418.74525
34.71,69492.62354
34.74,69566.53538
34.77,69640.44855
34.8,69714.38615
34.83,69788.35697
34.86,69862.32829
34.89,69936.3087
34.92,70010.32278
34.95,70084.34023
34.98,70158.34273
35.01,70232.37843
35.04,70306.4507
35.07,70380.56966
35.1,70454.72182
35.13,70528.90693
35.16,70603.14754
35.19,70677.42158
35.22,70751.72835
35.25,70825.94155
35.28,70900.1576
35.31,70974.40554
35.34,71048.68489
35.37,71122.99622
35.4,71197.33957
35.43,71271.73649
35.46,71346.19372
35.49,71420.68268
35.52,71495.18473
35.55,71569.66305
35.58,71644.17317
35.61,71718.71221
35.64,71793.24371
