Time(s),Thrust(N)
34.05,28619.37867
34.08,28578.26728
34.11,28558.38226
34.14,28538.63254
34.17,28518.89073
34.2,28499.15683
34.23,28478.81776
34.26,28446.27664
34.29,28453.15151
34.32,28459.81005
34.35,28396.08998
34.38,28376.40591
34.41,28356.7297
34.44,28337.06139
34.47,28317.4009
34.5,28296.72197
34.53,28286.93761
34.56,28293.69112
34.59,28234.67098
34.62,28214.70916
34.65,28195.09681
34.68,28175.49235
34.71,28155.89569
34.74,28209.62384
34.77,28126.151
34.8,28160.46729
34.83,28208.02967
34.86,28200.62709
34.89,28180.97434
34.92,28161.32949
34.95,28141.69253
34.98,28122.06343
35.01,28101.67459
35.04,28034.81593
35.07,28041.72781
35.1,28048.46084
35.13,28019.5499
35.16,27999.96069
35.19,27980.37937
35.22,27960.8059
35.25,27941.13772
35.28,27868.36109
35.31,27875.35497
35.34,27882.28625
35.37,27858.813
35.4,27839.04962
35.43,27819.52748
35.46,27800.01315
35.49,27780.50667
35.52,27760.5474
35.55,27708.93642
35.58,27716.01238
35.61,27722.65561
35.64,27678.63124
35.67,27659.17178
35.7,27639.72014
35.73,27620.27631
35.76,27600.84031
35.79,27580.61269
35.82,27549.67244
35.85,27556.53214
35.88,27519.30307
35.91,27499.3376
35.94,27479.95719
35.97,27460.58453
36.0,27441.21969
36.03,27421.7642
36.06,27383.35715
36.09,27390.44422
36.12,27397.20575
36.15,27340.32023
36.18,27320.7573
36.21,27301.46134
36.24,27282.17312
36.27,27262.89265
36.3,27243.21057
36.33,27224.42686
36.36,27231.283
36.39,27182.35901
36.42,27162.14019
36.45,27142.91078
36.48,27123.68907
36.51,27104.4751
36.54,27085.26881
36.57,27058.31172
36.6,27065.39108
36.63,27072.33632
36.66,27004.77739
36.69,26984.92759
36.72,26965.77265
36.75,26946.62541
36.78,26927.48584
36.81,26908.35395
36.84,26899.53181
36.87,26906.56565
36.9,26913.59015
36.93,26827.88415
36.96,26879.78335
36.99,26860.64631
37.02,26841.517
37.05,26893.76144
37.08,26874.38047
37.11,26812.05533
37.14,26819.1462
37.17,26813.90939
37.2,26793.768
37.23,26774.48884
37.26,26755.37518
37.29,26736.26922
37.32,26717.17095
37.35,26645.99397
37.38,26653.15762
37.41,26660.25814
37.44,26637.32141
37.47,26617.33147
37.5,26598.2732
37.53,26579.22262
37.56,26560.17969
37.59,26541.14446
37.62,26487.09942
37.65,26494.34088
37.68,26481.36303
37.71,26461.35247
37.74,26441.66733
37.77,26422.674
37.8,26403.68833
37.83,26384.71031
37.86,26320.93189
37.89,26328.32895
